PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
1,565904.8738884701,4900083.096725354,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,562104.8424682833,4904269.588937178,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,556749.7071761766,4898594.942752148,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,552886.8023887363,4890869.280646177,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.00253164556962,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,555629.3242053413,4899382.067873699,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,564279.482101162,4899215.031913875,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,565805.1142188295,4904680.726876694,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,561380.7895298537,4897077.337322921,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,557054.1699621414,4895851.944892294,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,568331.2981686871,4895584.6315416815,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,9.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,555407.241149496,4895710.889195021,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,531921.0532193818,4885034.902540213,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.9125,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,566525.5591321435,4906322.576761281,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,9.631590909090908,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,557904.9659891643,4899659.775897574,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,555285.8853839044,4895817.607891701,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,558594.1468116193,4903722.502481501,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,553493.0538640637,4894243.615766136,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,564521.0980201788,4902974.721306675,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,559461.8700326008,4897259.47724029,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,562815.5553278577,4897958.254734567,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,11.25086705202312,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,565174.1075709134,4899706.125556558,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,552707.4400508741,4891116.5384395495,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.00253164556962,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,560387.5952970553,4898348.036802243,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,564563.4316285778,4903034.26997995,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,562877.4043039271,4901200.728972199,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,537039.0491349055,4892303.517950316,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,6.922727272727273,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,561917.8146654719,4900593.005636731,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,555029.0428681957,4900234.469137313,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,553332.074642521,4892361.3623238625,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,554519.1191724901,4891114.660861684,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,557118.14484183,4893019.586014258,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,557202.2965713623,4892712.186946138,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,559675.0167768406,4895850.807229348,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,4.8545454545454545,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,555008.7044982365,4892870.352857589,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,562822.9586958293,4902570.144123605,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,562805.2662004887,4902841.110450211,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,558108.7912407224,4897229.874613745,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,560980.8393505142,4901024.082025053,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,558770.4786938732,4903503.130308803,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,555774.5482151266,4899218.518727389,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,539262.0491247142,4895867.517950977,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,6.922727272727273,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,539532.0491000137,4890185.517893413,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,13.2686,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,538911.1279404664,4884801.610720506,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,14.2,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,545838.1278704489,4882998.61066542,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,14.3185,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,542127.1279202693,4880076.610719236,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,14.3185,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,533217.0532102787,4888532.902479578,1,200,10,200,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,1,0,0,0,0,7.025,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
