PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
1,570151.5835678948,4897326.271919547,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,9.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,570653.8387680342,4896417.752246113,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,9.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,565078.5252307705,4907766.252038415,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,553509.8369202708,4891002.031831989,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.00253164556962,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,553367.4981955163,4890167.944265067,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.00253164556962,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,552930.6478702041,4889420.302253526,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,7.875,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,554126.4749125082,4892291.331475512,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,553656.5169093725,4891516.232257501,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.00253164556962,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,561148.9704836188,4899627.957731122,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,560780.5416056802,4898898.828006453,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,560229.1858198945,4898292.828348622,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,559725.9236323171,4897608.2315453375,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,559134.5151697645,4897013.614211861,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,564785.082271073,4899531.078872403,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,564129.9047488964,4898957.261652799,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.25086705202312,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,563442.8981459695,4898397.609995738,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.25086705202312,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,550926.9173321242,4893189.244972364,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
