Allele List,Frequency
LOclMSU14A0,0.05
LOclMSU14A1,0.0333
LOclMSU14A2,0.0
LOclMSU14A3,0.0
LOclMSU14A4,0.0167
LOclMSU14A5,0.3
LOclMSU14A6,0.15
LOclMSU14A7,0.0167
LOclMSU14A8,0.0
LOclMSU14A9,0.0
LOclMSU14A10,0.0333
LOclMSU14A11,0.0
LOclMSU14A12,0.3833
LOclMSU14A13,0.0167
LOclMSU14A14,0.0
LOclMSU14A15,0.0
LOclMSU14A16,0.0
LOclMSU15A0,0.0167
LOclMSU15A1,0.0
LOclMSU15A2,0.0
LOclMSU15A3,0.0
LOclMSU15A4,0.0167
LOclMSU15A5,0.1833
LOclMSU15A6,0.2
LOclMSU15A7,0.0833
LOclMSU15A8,0.2333
LOclMSU15A9,0.05
LOclMSU15A10,0.0833
LOclMSU15A11,0.0
LOclMSU15A12,0.0
LOclMSU15A13,0.0333
LOclMSU15A14,0.0
LOclMSU15A15,0.0
LOclMSU15A16,0.0167
LOclMSU15A17,0.0
LOclMSU15A18,0.0
LOclMSU15A19,0.0333
LOclMSU15A20,0.0
LOclMSU15A21,0.0
LOclMSU15A22,0.0333
LOclMSU15A23,0.0167
LOclMSU15A24,0.0
LOclMSU15A25,0.0
LOclMSU15A26,0.0
LOclMSU15A27,0.0
LOclMSU15A28,0.0
LOclMSU16A0,0.0
LOclMSU16A1,0.0
LOclMSU16A2,0.0
LOclMSU16A3,0.0167
LOclMSU16A4,0.0
LOclMSU16A5,0.0167
LOclMSU16A6,0.0833
LOclMSU16A7,0.0167
LOclMSU16A8,0.05
LOclMSU16A9,0.05
LOclMSU16A10,0.0
LOclMSU16A11,0.1
LOclMSU16A12,0.0
LOclMSU16A13,0.0667
LOclMSU16A14,0.0167
LOclMSU16A15,0.1333
LOclMSU16A16,0.0167
LOclMSU16A17,0.1167
LOclMSU16A18,0.3
LOclMSU16A19,0.0
LOclMSU16A20,0.0167
LOclMSU16A21,0.0
LOclMSU16A22,0.0
LOclMSU16A23,0.0
LOclMSU16A24,0.0
LOclMSU16A25,0.0
LOclMSU16A26,0.0
LOclMSU16A27,0.0
LOclMSU16A28,0.0
LOclMSU16A29,0.0
LOclMSU17A0,0.0
LOclMSU17A1,0.0
LOclMSU17A2,0.0
LOclMSU17A3,0.1
LOclMSU17A4,0.0833
LOclMSU17A5,0.15
LOclMSU17A6,0.0667
LOclMSU17A7,0.0667
LOclMSU17A8,0.3
LOclMSU17A9,0.2333
LOclMSU17A10,0.0
LOclMSU17A11,0.0
LOclMSU20A0,0.0
LOclMSU20A1,0.0
LOclMSU20A2,0.0167
LOclMSU20A3,0.0
LOclMSU20A4,0.0
LOclMSU20A5,0.0
LOclMSU20A6,0.0
LOclMSU20A7,0.2333
LOclMSU20A8,0.0333
LOclMSU20A9,0.4833
LOclMSU20A10,0.0
LOclMSU20A11,0.15
LOclMSU20A12,0.0
LOclMSU20A13,0.0
LOclMSU20A14,0.0
LOclMSU20A15,0.0
LOclMSU20A16,0.0
LOclMSU20A17,0.0333
LOclMSU20A18,0.0
LOclMSU20A19,0.0
LOclMSU20A20,0.0167
LOclMSU20A21,0.0
LOclMSU20A22,0.0167
LOclMSU20A23,0.0
LOclMSU20A24,0.0
LOclMSU20A25,0.0
LOclMSU20A26,0.0
LOclMSU20A27,0.0
LOclMSU20A28,0.0
LOclMSU20A29,0.0
LOclMSU20A30,0.0
LOclMSU20A31,0.0167
LOclMSU20A32,0.0
LOclMSU20A33,0.0
LOclMSU20A34,0.0
LOclMSU20A35,0.0
LOclMSU21A0,0.0
LOclMSU21A1,0.0
LOclMSU21A2,0.0
LOclMSU21A3,0.0
LOclMSU21A4,0.0
LOclMSU21A5,0.05
LOclMSU21A6,0.0333
LOclMSU21A7,0.6
LOclMSU21A8,0.2
LOclMSU21A9,0.0
LOclMSU21A10,0.0167
LOclMSU21A11,0.0
LOclMSU21A12,0.0667
LOclMSU21A13,0.0
LOclMSU21A14,0.0
LOclMSU21A15,0.0167
LOclMSU21A16,0.0167
LOclMSU21A17,0.0
LOclMSU21A18,0.0
LOclMSU21A19,0.0
LOclMSU22A0,0.0
LOclMSU22A1,0.0
LOclMSU22A2,0.0
LOclMSU22A3,0.0
LOclMSU22A4,0.0
LOclMSU22A5,0.0
LOclMSU22A6,0.0
LOclMSU22A7,0.0
LOclMSU22A8,0.0
LOclMSU22A9,0.0
LOclMSU22A10,0.0167
LOclMSU22A11,0.05
LOclMSU22A12,0.0333
LOclMSU22A13,0.2
LOclMSU22A14,0.3167
LOclMSU22A15,0.1
LOclMSU22A16,0.15
LOclMSU22A17,0.05
LOclMSU22A18,0.0333
LOclMSU22A19,0.0
LOclMSU22A20,0.0
LOclMSU22A21,0.0
LOclMSU22A22,0.0
LOclMSU22A23,0.0
LOclMSU22A24,0.05
LOclMSU23A0,0.0172
LOclMSU23A1,0.0
LOclMSU23A2,0.0
LOclMSU23A3,0.0
LOclMSU23A4,0.0172
LOclMSU23A5,0.1897
LOclMSU23A6,0.2069
LOclMSU23A7,0.069
LOclMSU23A8,0.2241
LOclMSU23A9,0.0517
LOclMSU23A10,0.0862
LOclMSU23A11,0.0
LOclMSU23A12,0.0
LOclMSU23A13,0.0345
LOclMSU23A14,0.0
LOclMSU23A15,0.0172
LOclMSU23A16,0.0
LOclMSU23A17,0.0
LOclMSU23A18,0.0345
LOclMSU23A19,0.0
LOclMSU23A20,0.0
LOclMSU23A21,0.0345
LOclMSU23A22,0.0172
LOclMSU23A23,0.0
LOclMSU23A24,0.0
LOclMSU23A25,0.0
LOclMSU23A26,0.0
LOclMSU23A27,0.0
LOclMSU24A0,0.0
LOclMSU24A1,0.0
LOclMSU24A2,0.0
LOclMSU24A3,0.0
LOclMSU24A4,0.0
LOclMSU24A5,0.0517
LOclMSU24A6,0.0862
LOclMSU24A7,0.0
LOclMSU24A8,0.0
LOclMSU24A9,0.0517
