PatchID,X,Y,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Back,Mortality Eggs,Migration Out Prob,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev
1,570151.5835678948,4897326.271919547,80,0,80,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,9.8|10|10.2|10.4|10.6|10.8|11|11.2|11.4|11.6|11.8|12|12.2|12.4|12.6|12.8|13|13.2|13.4|13.6|13.8|14|14.2|14.4|14.6|14.8|15|15.2|15.4|15.6|15.8|16|16.2|16.4|16.6|16.8|17|17.2|17.4|17.6|17.8|18|18.2|18.4|18.6|18.8|19|19.2|19.4|19.6|19.8|20,0,365,0
2,570653.8387680342,4896417.752246113,80,0,80,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,9.8|10|10.2|10.4|10.6|10.8|11|11.2|11.4|11.6|11.8|12|12.2|12.4|12.6|12.8|13|13.2|13.4|13.6|13.8|14|14.2|14.4|14.6|14.8|15|15.2|15.4|15.6|15.8|16|16.2|16.4|16.6|16.8|17|17.2|17.4|17.6|17.8|18|18.2|18.4|18.6|18.8|19|19.2|19.4|19.6|19.8|20,0,365,0
3,565078.5252307705,4907766.252038415,80,0,80,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,10.7028901734104|10.9028901734104|11.1028901734104|11.3028901734104|11.5028901734104|11.7028901734104|11.9028901734104|12.1028901734104|12.3028901734104|12.5028901734104|12.7028901734104|12.9028901734104|13.1028901734104|13.3028901734104|13.5028901734104|13.7028901734104|13.9028901734104|14.1028901734104|14.3028901734104|14.5028901734104|14.7028901734104|14.9028901734104|15.1028901734104|15.3028901734104|15.5028901734104|15.7028901734104|15.9028901734104|16.1028901734104|16.3028901734104|16.5028901734104|16.7028901734104|16.9028901734104|17.1028901734104|17.3028901734104|17.5028901734104|17.7028901734104|17.9028901734104|18.1028901734104|18.3028901734104|18.5028901734104|18.7028901734104|18.9028901734104|19.1028901734104|19.3028901734104|19.5028901734104|19.7028901734104|19.9028901734104|20.1028901734104|20.3028901734104|20.5028901734104|20.7028901734104|20.9028901734104,0,365,0
4,553509.8369202708,4891002.031831989,80,0,80,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.00253164556962|5.20253164556962|5.40253164556962|5.60253164556962|5.80253164556962|6.00253164556962|6.20253164556962|6.40253164556962|6.60253164556962|6.80253164556962|7.00253164556962|7.20253164556962|7.40253164556962|7.60253164556962|7.80253164556962|8.00253164556962|8.20253164556962|8.40253164556962|8.60253164556962|8.80253164556962|9.00253164556962|9.20253164556962|9.40253164556962|9.60253164556962|9.80253164556962|10.0025316455696|10.2025316455696|10.4025316455696|10.6025316455696|10.8025316455696|11.0025316455696|11.2025316455696|11.4025316455696|11.6025316455696|11.8025316455696|12.0025316455696|12.2025316455696|12.4025316455696|12.6025316455696|12.8025316455696|13.0025316455696|13.2025316455696|13.4025316455696|13.6025316455696|13.8025316455696|14.0025316455696|14.2025316455696|14.4025316455696|14.6025316455696|14.8025316455696|15.0025316455696|15.2025316455696,0,365,0
5,553367.4981955163,4890167.944265067,80,0,80,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.00253164556962|5.20253164556962|5.40253164556962|5.60253164556962|5.80253164556962|6.00253164556962|6.20253164556962|6.40253164556962|6.60253164556962|6.80253164556962|7.00253164556962|7.20253164556962|7.40253164556962|7.60253164556962|7.80253164556962|8.00253164556962|8.20253164556962|8.40253164556962|8.60253164556962|8.80253164556962|9.00253164556962|9.20253164556962|9.40253164556962|9.60253164556962|9.80253164556962|10.0025316455696|10.2025316455696|10.4025316455696|10.6025316455696|10.8025316455696|11.0025316455696|11.2025316455696|11.4025316455696|11.6025316455696|11.8025316455696|12.0025316455696|12.2025316455696|12.4025316455696|12.6025316455696|12.8025316455696|13.0025316455696|13.2025316455696|13.4025316455696|13.6025316455696|13.8025316455696|14.0025316455696|14.2025316455696|14.4025316455696|14.6025316455696|14.8025316455696|15.0025316455696|15.2025316455696,0,365,0
6,552930.6478702041,4889420.302253526,80,0,80,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,7.875|8.075|8.275|8.475|8.675|8.875|9.075|9.275|9.47499999999999|9.67499999999999|9.87499999999999|10.075|10.275|10.475|10.675|10.875|11.075|11.275|11.475|11.675|11.875|12.075|12.275|12.475|12.675|12.875|13.075|13.275|13.475|13.675|13.875|14.075|14.275|14.475|14.675|14.875|15.075|15.275|15.475|15.675|15.875|16.075|16.275|16.475|16.675|16.875|17.075|17.275|17.475|17.675|17.875|18.075,0,365,0
7,554126.4749125082,4892291.331475512,80,0,80,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.65568181818182|5.85568181818182|6.05568181818182|6.25568181818182|6.45568181818182|6.65568181818182|6.85568181818182|7.05568181818182|7.25568181818182|7.45568181818182|7.65568181818182|7.85568181818182|8.05568181818182|8.25568181818182|8.45568181818182|8.65568181818182|8.85568181818182|9.05568181818182|9.25568181818181|9.45568181818181|9.65568181818181|9.85568181818181|10.0556818181818|10.2556818181818|10.4556818181818|10.6556818181818|10.8556818181818|11.0556818181818|11.2556818181818|11.4556818181818|11.6556818181818|11.8556818181818|12.0556818181818|12.2556818181818|12.4556818181818|12.6556818181818|12.8556818181818|13.0556818181818|13.2556818181818|13.4556818181818|13.6556818181818|13.8556818181818|14.0556818181818|14.2556818181818|14.4556818181818|14.6556818181818|14.8556818181818|15.0556818181818|15.2556818181818|15.4556818181818|15.6556818181818|15.8556818181818,0,365,0
8,553656.5169093725,4891516.232257501,80,0,80,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.00253164556962|5.20253164556962|5.40253164556962|5.60253164556962|5.80253164556962|6.00253164556962|6.20253164556962|6.40253164556962|6.60253164556962|6.80253164556962|7.00253164556962|7.20253164556962|7.40253164556962|7.60253164556962|7.80253164556962|8.00253164556962|8.20253164556962|8.40253164556962|8.60253164556962|8.80253164556962|9.00253164556962|9.20253164556962|9.40253164556962|9.60253164556962|9.80253164556962|10.0025316455696|10.2025316455696|10.4025316455696|10.6025316455696|10.8025316455696|11.0025316455696|11.2025316455696|11.4025316455696|11.6025316455696|11.8025316455696|12.0025316455696|12.2025316455696|12.4025316455696|12.6025316455696|12.8025316455696|13.0025316455696|13.2025316455696|13.4025316455696|13.6025316455696|13.8025316455696|14.0025316455696|14.2025316455696|14.4025316455696|14.6025316455696|14.8025316455696|15.0025316455696|15.2025316455696,0,365,0
9,561148.9704836188,4899627.957731122,80,0,80,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,11.6100862068966|11.8100862068966|12.0100862068966|12.2100862068966|12.4100862068965|12.6100862068965|12.8100862068965|13.0100862068965|13.2100862068965|13.4100862068965|13.6100862068965|13.8100862068965|14.0100862068965|14.2100862068965|14.4100862068965|14.6100862068965|14.8100862068965|15.0100862068965|15.2100862068965|15.4100862068965|15.6100862068965|15.8100862068965|16.0100862068965|16.2100862068965|16.4100862068965|16.6100862068965|16.8100862068965|17.0100862068965|17.2100862068965|17.4100862068965|17.6100862068965|17.8100862068965|18.0100862068965|18.2100862068965|18.4100862068965|18.6100862068965|18.8100862068965|19.0100862068965|19.2100862068965|19.4100862068965|19.6100862068965|19.8100862068965|20.0100862068965|20.2100862068965|20.4100862068965|20.6100862068965|20.8100862068965|21.0100862068965|21.2100862068965|21.4100862068965|21.6100862068965|21.8100862068965,0,365,0
10,560780.5416056802,4898898.828006453,80,0,80,1,1,random,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,15.8|16|16.2|16.4|16.6|16.8|17|17.2|17.4|17.6|17.8|18|18.2|18.4|18.6|18.8|19|19.2|19.4|19.6|19.8|20|20.2|20.4|20.6|20.8|21|21.2|21.4|21.6|21.8|22|22.2|22.4|22.6|22.8|23|23.2|23.4|23.6|23.8|24|24.2|24.4|24.6|24.8|25|25.2|25.4|25.6|25.8|26,0,365,0
