Chromosome,Length,recombination_rate,mutation_rate
1,5558.99,300,1e-8
2,6444.81,300,1e-8
3,5464.7300000000005,300,1e-8
4,5485.64,300,1e-8
5,6472.53,300,1e-8
6,4227.18,300,1e-8
7,4487.2300000000005,300,1e-8
8,2280.1,300,1e-8
9,2767.96,300,1e-8
10,4276.2300000000005,300,1e-8
11,4295.64,300,1e-8
12,2034.82,300,1e-8
13,2915.07,300,1e-8
14,6103.52,300,1e-8
15,3137.77,300,1e-8
16,1883.27,300,1e-8
17,1677.93,300,1e-8
18,1926.64,300,1e-8
19,2343.43,300,1e-8
20,3601.03,300,1e-8
21,4838.31,300,1e-8
22,3348.1,300,1e-8
23,4101.63,300,1e-8
24,5553.42,300,1e-8
25,2828.77,300,1e-8
26,3211.77,300,1e-8
27,3959.51,300,1e-8
28,2750.79,300,1e-8
30,3044.4500000000003,300,1e-8
31,2662.26,300,1e-8
32,2189.2400000000002,300,1e-8
33,2790.53,300,1e-8
