PatchID,X,Y,K,K StDev,N0,Natal Grounds,Migration Grounds,Class Vars,Mortality Out %,Mortality Back,Mortality Eggs,Migration Out Prob,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev
1,570151.5835678948,4897326.271919547,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,9.8|9.84|9.88|9.92|9.96|10|10.04|10.08|10.12|10.16|10.2|10.24|10.28|10.32|10.36|10.4|10.44|10.48|10.52|10.56|10.6|10.64|10.68|10.72|10.76|10.8|10.84|10.88|10.92|10.96|11|11.04|11.08|11.12|11.16|11.2|11.24|11.28|11.32|11.36|11.4|11.44|11.48|11.52|11.56|11.6|11.64|11.68|11.72|11.76|11.8|11.84,0,365,0
2,570653.8387680342,4896417.752246113,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,9.8|9.84|9.88|9.92|9.96|10|10.04|10.08|10.12|10.16|10.2|10.24|10.28|10.32|10.36|10.4|10.44|10.48|10.52|10.56|10.6|10.64|10.68|10.72|10.76|10.8|10.84|10.88|10.92|10.96|11|11.04|11.08|11.12|11.16|11.2|11.24|11.28|11.32|11.36|11.4|11.44|11.48|11.52|11.56|11.6|11.64|11.68|11.72|11.76|11.8|11.84,0,365,0
3,565078.5252307705,4907766.252038415,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,10.7028901734104|10.7428901734104|10.7828901734104|10.8228901734104|10.8628901734104|10.9028901734104|10.9428901734104|10.9828901734104|11.0228901734104|11.0628901734104|11.1028901734104|11.1428901734104|11.1828901734104|11.2228901734104|11.2628901734104|11.3028901734104|11.3428901734104|11.3828901734104|11.4228901734104|11.4628901734104|11.5028901734104|11.5428901734104|11.5828901734104|11.6228901734104|11.6628901734104|11.7028901734104|11.7428901734104|11.7828901734104|11.8228901734104|11.8628901734104|11.9028901734104|11.9428901734104|11.9828901734104|12.0228901734104|12.0628901734104|12.1028901734104|12.1428901734104|12.1828901734104|12.2228901734104|12.2628901734104|12.3028901734104|12.3428901734104|12.3828901734104|12.4228901734104|12.4628901734104|12.5028901734104|12.5428901734104|12.5828901734104|12.6228901734104|12.6628901734104|12.7028901734104|12.7428901734104,0,365,0
4,553509.8369202708,4891002.031831989,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.00253164556962|5.04253164556962|5.08253164556962|5.12253164556962|5.16253164556962|5.20253164556962|5.24253164556962|5.28253164556962|5.32253164556962|5.36253164556962|5.40253164556962|5.44253164556962|5.48253164556962|5.52253164556962|5.56253164556962|5.60253164556962|5.64253164556962|5.68253164556962|5.72253164556962|5.76253164556962|5.80253164556962|5.84253164556962|5.88253164556962|5.92253164556962|5.96253164556962|6.00253164556962|6.04253164556962|6.08253164556962|6.12253164556962|6.16253164556962|6.20253164556962|6.24253164556962|6.28253164556962|6.32253164556962|6.36253164556962|6.40253164556962|6.44253164556962|6.48253164556962|6.52253164556962|6.56253164556962|6.60253164556962|6.64253164556962|6.68253164556962|6.72253164556962|6.76253164556962|6.80253164556962|6.84253164556962|6.88253164556962|6.92253164556962|6.96253164556962|7.00253164556962|7.04253164556962,0,365,0
5,553367.4981955163,4890167.944265067,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.00253164556962|5.04253164556962|5.08253164556962|5.12253164556962|5.16253164556962|5.20253164556962|5.24253164556962|5.28253164556962|5.32253164556962|5.36253164556962|5.40253164556962|5.44253164556962|5.48253164556962|5.52253164556962|5.56253164556962|5.60253164556962|5.64253164556962|5.68253164556962|5.72253164556962|5.76253164556962|5.80253164556962|5.84253164556962|5.88253164556962|5.92253164556962|5.96253164556962|6.00253164556962|6.04253164556962|6.08253164556962|6.12253164556962|6.16253164556962|6.20253164556962|6.24253164556962|6.28253164556962|6.32253164556962|6.36253164556962|6.40253164556962|6.44253164556962|6.48253164556962|6.52253164556962|6.56253164556962|6.60253164556962|6.64253164556962|6.68253164556962|6.72253164556962|6.76253164556962|6.80253164556962|6.84253164556962|6.88253164556962|6.92253164556962|6.96253164556962|7.00253164556962|7.04253164556962,0,365,0
6,552930.6478702041,4889420.302253526,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,7.875|7.915|7.955|7.995|8.035|8.075|8.115|8.155|8.195|8.235|8.275|8.31499999999999|8.35499999999999|8.39499999999999|8.43499999999999|8.47499999999999|8.51499999999999|8.55499999999999|8.59499999999999|8.63499999999999|8.67499999999999|8.71499999999999|8.75499999999998|8.79499999999998|8.83499999999998|8.87499999999998|8.91499999999998|8.95499999999998|8.99499999999998|9.03499999999998|9.07499999999998|9.11499999999998|9.15499999999998|9.19499999999998|9.23499999999997|9.27499999999997|9.31499999999997|9.35499999999997|9.39499999999997|9.43499999999997|9.47499999999997|9.51499999999997|9.55499999999997|9.59499999999997|9.63499999999997|9.67499999999997|9.71499999999996|9.75499999999996|9.79499999999996|9.83499999999996|9.87499999999996|9.91499999999996,0,365,0
7,554126.4749125082,4892291.331475512,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.65568181818182|5.69568181818182|5.73568181818182|5.77568181818182|5.81568181818182|5.85568181818182|5.89568181818182|5.93568181818182|5.97568181818182|6.01568181818182|6.05568181818182|6.09568181818182|6.13568181818182|6.17568181818182|6.21568181818182|6.25568181818182|6.29568181818182|6.33568181818182|6.37568181818182|6.41568181818182|6.45568181818182|6.49568181818182|6.53568181818182|6.57568181818182|6.61568181818182|6.65568181818182|6.69568181818182|6.73568181818182|6.77568181818182|6.81568181818182|6.85568181818182|6.89568181818182|6.93568181818182|6.97568181818182|7.01568181818182|7.05568181818182|7.09568181818182|7.13568181818182|7.17568181818182|7.21568181818182|7.25568181818182|7.29568181818182|7.33568181818182|7.37568181818182|7.41568181818182|7.45568181818182|7.49568181818182|7.53568181818182|7.57568181818182|7.61568181818182|7.65568181818182|7.69568181818182,0,365,0
8,553656.5169093725,4891516.232257501,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,5.00253164556962|5.04253164556962|5.08253164556962|5.12253164556962|5.16253164556962|5.20253164556962|5.24253164556962|5.28253164556962|5.32253164556962|5.36253164556962|5.40253164556962|5.44253164556962|5.48253164556962|5.52253164556962|5.56253164556962|5.60253164556962|5.64253164556962|5.68253164556962|5.72253164556962|5.76253164556962|5.80253164556962|5.84253164556962|5.88253164556962|5.92253164556962|5.96253164556962|6.00253164556962|6.04253164556962|6.08253164556962|6.12253164556962|6.16253164556962|6.20253164556962|6.24253164556962|6.28253164556962|6.32253164556962|6.36253164556962|6.40253164556962|6.44253164556962|6.48253164556962|6.52253164556962|6.56253164556962|6.60253164556962|6.64253164556962|6.68253164556962|6.72253164556962|6.76253164556962|6.80253164556962|6.84253164556962|6.88253164556962|6.92253164556962|6.96253164556962|7.00253164556962|7.04253164556962,0,365,0
9,561148.9704836188,4899627.957731122,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,11.6100862068966|11.6500862068966|11.6900862068966|11.7300862068965|11.7700862068965|11.8100862068965|11.8500862068965|11.8900862068965|11.9300862068965|11.9700862068965|12.0100862068965|12.0500862068965|12.0900862068965|12.1300862068965|12.1700862068965|12.2100862068965|12.2500862068965|12.2900862068965|12.3300862068965|12.3700862068965|12.4100862068965|12.4500862068965|12.4900862068965|12.5300862068965|12.5700862068965|12.6100862068965|12.6500862068965|12.6900862068965|12.7300862068965|12.7700862068965|12.8100862068965|12.8500862068965|12.8900862068965|12.9300862068965|12.9700862068965|13.0100862068965|13.0500862068965|13.0900862068965|13.1300862068965|13.1700862068965|13.2100862068965|13.2500862068965|13.2900862068965|13.3300862068965|13.3700862068965|13.4100862068965|13.4500862068965|13.4900862068965|13.5300862068965|13.5700862068965|13.6100862068965|13.6500862068965,0,365,0
10,560780.5416056802,4898898.828006453,80,0,80,1,1,ClassVars.csv,0,0,0.68,0,0,0,0.01,0,0,0,0,15.8|15.84|15.88|15.92|15.96|16|16.04|16.08|16.12|16.16|16.2|16.24|16.28|16.32|16.36|16.4|16.44|16.48|16.52|16.56|16.6|16.64|16.68|16.72|16.76|16.8|16.84|16.88|16.92|16.96|17|17.04|17.08|17.12|17.16|17.2|17.24|17.28|17.32|17.36|17.4|17.44|17.48|17.52|17.56|17.6|17.64|17.68|17.72|17.76|17.8|17.84,0,365,0
